cycle,parsed_valid,parsed_type,order_ref,side,shares,price,timestamp,stock_symbol,match_id
39,1,0x0,0xcd2a720d1536e268,0x0,0x173ca,0xcff4b,,,
62,1,0x1,0x60597fc65d3cbebb,,0x37c1f,,,,
89,1,0x4,0x19575d5d3051c4e5,,0x48dcf,0x2f002,,,
98,1,0x2,0x59637bf68003a96e,,,,,,
128,1,0x3,0x8c1d21969bde76fe,,0x9ee90,,0x71c970cd0a53,,0x849a8b8434803523
168,1,0x5,0x359ba83579596af4,0x0,0x127,0x6909a,0xb59815ba4585,0x5a4b454a43202020,0xe420deb8469c3548
204,1,0x0,0x1e38402d38d1b281,0x1,0x344d8,0x9a2ec,,,
227,1,0x1,0x7a613caba233cf23,,0x79972,,,,
254,1,0x4,0xa94b360d8b20332d,,0x28,0x1320f,,,
263,1,0x2,0xe0b4d22d52697f8e,,,,,,
303,1,0x5,0xcb8368847bc3a8f5,0x0,0x1a62,0x1a838,0x6a73b611ba98,0x4c47595542202020,0x3160f86e6dddd288
333,1,0x3,0xd8cf0d245fe29b7d,,0x25ab3,,0x857402bd0f68,,0x373ff030f5373670
369,1,0x0,0xe71f473f780906ba,0x1,0xc2b8,0x42b62,,,
392,1,0x1,0xaaf775f82e70ceae,,0xd66e4,,,,
419,1,0x4,0xfc20662828bd0497,,0x13852,0x5d540,,,
449,1,0x3,0x10dfd634bfd2666,,0xcd69,,0x2f28593ef2cb,,0x3f7e4e8dcfdd87e6
458,1,0x2,0x5445d0ad3cf2513c,,,,,,
498,1,0x5,0xfeb3adeb4057876f,0x0,0x15eb,0x97039,0xcde594399df,0x5343572020202020,0x11994a5e97aaa52d
534,1,0x0,0xa7e94cf4c8745540,0x0,0x960d5,0x28a66,,,
557,1,0x1,0x8afa4119781e4bec,,0x2c417,,,,
584,1,0x4,0x3e4c4a555644a7af,,0x61adb,0x7333f,,,
614,1,0x3,0x21157d28e47206ea,,0xc6407,,0xcccc6e125144,,0x34654ebd1ed26a37
654,1,0x5,0x257c7a1d3bd173a6,0x1,0x1fd6,0x2ebb0,0xd497fd8926a,0x5451574d41502020,0x153d16aa22dc40df
663,1,0x2,0x35ba6ae69e92c0f5,,,,,,
699,1,0x0,0xad1ce914514d1e23,0x0,0xc74b7,0xc3b78,,,
722,1,0x1,0x41a6b06432ae050b,,0x45c1b,,,,
749,1,0x4,0xff413877bb4a0e27,,0x97f6c,0x5e080,,,
789,1,0x5,0x70bf7817dccb7ea8,0x0,0x5dc,0x4d06c,0x77391fe93766,0x42514f5849202020,0x579440bda1bb2b14
798,1,0x2,0x9273828ce0de4f5b,,,,,,
828,1,0x3,0x1a3baae2b8a24caa,,0x70275,,0xbf8d100ae42,,0x81205fa940e96070
864,1,0x0,0x9ea71e7eaaf55092,0x1,0xcf17e,0xeaefb,,,
887,1,0x1,0xd084e53ced8ba3a3,,0x7465c,,,,
914,1,0x4,0x2f7b17a396252838,,0xbeb87,0x12a6c,,,
954,1,0x5,0xe078b5bdf4af762c,0x0,0x20f5,0xcdba4,0x1dd0495e11e0,0x524d514920202020,0x6684e95314d652ff
984,1,0x3,0xc42c24e1f2437c74,,0x16fee,,0xbc2a57704c04,,0xbad8c5091073739d
993,1,0x2,0xe88fb12dbcab8822,,,,,,
1029,1,0x0,0xfc278920d84173cf,0x1,0xa24,0xd824f,,,
1052,1,0x1,0x63a00dcb518aa52b,,0xa80d,,,,
1061,1,0x2,0xc682155edb482d46,,,,,,
1088,1,0x4,0x11ccf03f72d17079,,0x11ff0,0x3c5c1,,,
1118,1,0x3,0x5f565e9b9f6c9eae,,0xd167c,,0xeac5eb434cd2,,0xbde745053a94494a
1158,1,0x5,0x393d705ce5fac119,0x1,0x1218,0x5d970,0x1f9d13955f93,0x4d4c51454c202020,0xa14db6a1e3284961
1194,1,0x0,0xcd933c79491db6f7,0x0,0x874ba,0xc589f,,,
1217,1,0x1,0xad54d522293c5dac,,0xadec4,,,,
1226,1,0x2,0x64f7e118dd7d0476,,,,,,
1253,1,0x4,0xf68e0f8e3ceff753,,0xe7f07,0x52acf,,,
1293,1,0x5,0x2e14c3f3001c767a,0x0,0x915,0xcec2e,0xb3b148400f18,0x5350534342202020,0xc8119b40d5f04415
1323,1,0x3,0xbfbd77754320254e,,0xcce0b,,0x8a04d6b0e600,,0xcfa722cb6893457f
1359,1,0x0,0xdb07d02bda74045b,0x0,0x696e6,0xce42e,,,
1382,1,0x1,0x7e88e142d76c518c,,0x77855,,,,
1391,1,0x2,0xae99d36d629f74e0,,,,,,
1421,1,0x3,0xfd72087c1b3ff4ac,,0x5f4c7,,0x7e136421800,,0xb2b87a6defce865b
1448,1,0x4,0x650cf2d634c911dc,,0x4ccfa,0x62f83,,,
1488,1,0x5,0x466a748393abe32f,0x0,0xc5a,0xdd063,0x3fcc41cc472,0x5942594720202020,0xfac3735c9553c220
1524,1,0x0,0x43c950cf109a315f,0x0,0xd1a32,0x6803d,,,
1547,1,0x1,0x2cd47a7eec45a6ad,,0x3acb1,,,,
1556,1,0x2,0xccb2d3532d62b88c,,,,,,
1586,1,0x3,0x8239eeeaf09d5371,,0x5c21c,,0x6f9696ab5ea3,,0xaaa9a72d940130cb
1626,1,0x5,0xf7d2b53bf63283a,0x0,0x254c,0x5b619,0x53932efbcebf,0x46584e2020202020,0x1990e705bea04b7f
1653,1,0x4,0x122a3ee924e39ca8,,0x84084,0x9bb9,,,
1689,1,0x0,0xa02f3b3d9a6c42f1,0x0,0xd0fba,0x8b380,,,
1712,1,0x1,0xba3a6259a132a1fe,,0xf94,,,,
1721,1,0x2,0x41703829ac26104e,,,,,,
1761,1,0x5,0xdd0c7b6671363ad6,0x1,0x1e13,0xe6e2,0x377275e086a1,0x434f4e4120202020,0xc501f8f6d5863236
1788,1,0x4,0x9ff7d49360538f97,,0x17930,0x778e0,,,
1818,1,0x3,0xd2a032c7486b6ccb,,0x3cce9,,0x70003c480328,,0x354596c7a2e041ae
1854,1,0x0,0x81d7355b7a75d5ff,0x1,0xd88c6,0x9182d,,,
1877,1,0x1,0x7a612bfa759730ea,,0x963c5,,,,
1886,1,0x2,0xadd61fb19a3c10aa,,,,,,
1926,1,0x5,0x8fa4235e11df008c,0x1,0x10dc,0x2ea6c,0xd477d8b5ac5a,0x46494a5020202020,0x93151a48c10963b3
1956,1,0x3,0x95aa9fa921dcc1b7,,0xe35b3,,0x5bf438cd1b2,,0x3202866d09a59de4
1983,1,0x4,0x9a091cedc98d7f89,,0x7960d,0x37efe,,,
2019,1,0x0,0xf541ec742e3cd268,0x1,0xefcfc,0x88f85,,,
2042,1,0x1,0xe8580dbefb5af76f,,0x5eb73,,,,
2072,1,0x3,0x86a3185e4f622c8e,,0x24511,,0xa9c393c0b57d,,0x984b584fe32d9713
2099,1,0x4,0xc965d0946daefd42,,0x4e2bd,0x35a74,,,
2108,1,0x2,0x6ea595d12ce0ad8c,,,,,,
2148,1,0x5,0xe9ef04aa9627ce67,0x1,0x61a,0xcb257,0x4084b00196ed,0x4e4d51514a202020,0xd959d1c0109c7bd8
